
### Input: give me a Beginner workout Routine 
# output: 
**Day 1: Push**
1. Overhead Dumbbell Press, 7 - 12 reps, 2 sets
2. Incline Dumbbell Press, 5 - 9 reps, 4 sets
3. Overhead Dumbbell Extensions, 9 - 13 reps, 4 sets
4. Barbell Bench Press, 6 - 11 reps, 4 sets
5. Tricep Pushdowns, 10 - 12 reps, 4 sets
6. Pec Deck, 9 - 14 reps, 3 sets
7. Dumbbell Lateral Raises, 10 - 13 reps, 2 sets

**Day 2: Pull**
1. Barbell Shrugs, 9 - 13 reps, 3 sets
2. Reverse Pec Deck, 9 - 11 reps, 2 sets
3. Face Pulls, 6 - 9 reps, 3 sets
4. Hammer Curls, 5 - 7 reps, 4 sets
5. Seated Cable Rows, 6 - 11 reps, 2 sets

**Day 3: Legs**
1. Leg Press, 8 - 10 reps, 3 sets
2. Standing Calf Raises, 8 - 12 reps, 3 sets
3. Leg Extensions, 8 - 12 reps, 3 sets
4. Hamstring Curls, 6 - 8 reps, 2 sets
5. Goblet Squats, 5 - 7 reps, 2 sets
6. Bodyweight Squats, 8 - 11 reps, 2 sets
7. Glute Bridges, 6 - 11 reps, 4 sets

**Day 4: Push**
1. Overhead Dumbbell Extensions, 8 - 12 reps, 3 sets
2. Tricep Pushdowns, 8 - 10 reps, 3 sets
3. Pec Deck, 10 - 15 reps, 3 sets
4. Barbell Bench Press, 6 - 8 reps, 3 sets
5. Incline Dumbbell Press, 9 - 14 reps, 4 sets
6. Overhead Dumbbell Press, 8 - 12 reps, 3 sets
7. Dumbbell Lateral Raises, 7 - 12 reps, 3 sets

**Day 5: Pull**
1. Pull-Ups, 8 - 11 reps, 4 sets
2. Single Arm Rows, 6 - 9 reps, 3 sets
3. Face Pulls, 10 - 13 reps, 4 sets
4. Barbell Shrugs, 5 - 7 reps, 4 sets
5. Dumbbell Curls, 9 - 13 reps, 3 sets
6. Hammer Curls, 6 - 11 reps, 3 sets
7. Reverse Pec Deck, 8 - 13 reps, 2 sets

**Day 6: Legs**
1. Leg Extensions, 5 - 10 reps, 3 sets
2. Goblet Squats, 9 - 13 reps, 2 sets
3. Hamstring Curls, 9 - 11 reps, 3 sets
4. Glute Bridges, 8 - 11 reps, 3 sets
5. Bodyweight Squats, 5 - 7 reps, 2 sets

**Day 7: Rest**


### input: give me an Intermediate workout Routine
#  output :
**Day 1: Push**
1. Tricep Pushdowns, 6 - 8 reps, 4 sets
2. Dumbbell Pullover, 8 - 12 reps, 4 sets
3. Dumbbell Bench Press, 7 - 11 reps, 2 sets
4. Dumbbell Lateral Raises, 7 - 10 reps, 4 sets
5. Cable Lateral Raises, 8 - 13 reps, 3 sets
6. Skull Crushers, 6 - 10 reps, 3 sets

**Day 2: Pull**
1. Cable Curls, 9 - 11 reps, 3 sets
2. Rear Delt Flyes, 8 - 11 reps, 4 sets
3. Bent Over Rows, 9 - 13 reps, 4 sets
4. Deadlifts, 10 - 14 reps, 3 sets
5. Reverse Curls, 9 - 13 reps, 3 sets
6. Pull-Ups, 9 - 13 reps, 4 sets
7. T-bar Rows, 7 - 12 reps, 2 sets

**Day 3: Legs**
1. Lunges, 8 - 10 reps, 3 sets
2. Romanian Deadlift, 7 - 10 reps, 2 sets
3. Leg Press, 5 - 9 reps, 3 sets
4. Sitting Calf Raises, 10 - 15 reps, 3 sets
5. Leg Extensions, 8 - 11 reps, 3 sets

**Day 4: Push**
1. Skull Crushers, 9 - 11 reps, 2 sets
2. Tricep Pushdowns, 8 - 11 reps, 4 sets
3. Dumbbell Pullover, 10 - 12 reps, 2 sets
4. Military Press, 7 - 11 reps, 2 sets
5. Cable Lateral Raises, 5 - 10 reps, 2 sets
6. Dumbbell Bench Press, 7 - 10 reps, 4 sets
7. Dumbbell Lateral Raises, 8 - 12 reps, 4 sets

**Day 5: Pull**
1. Rear Delt Flyes, 8 - 12 reps, 2 sets
2. Reverse Curls, 5 - 8 reps, 4 sets
3. Face Pulls, 9 - 11 reps, 2 sets
4. T-bar Rows, 7 - 11 reps, 3 sets
5. Bent Over Rows, 9 - 12 reps, 3 sets
6. Cable Curls, 8 - 10 reps, 3 sets
7. Preacher Curls, 6 - 8 reps, 2 sets

**Day 6: Legs**
1. Romanian Deadlift, 6 - 11 reps, 2 sets
2. Squats, 7 - 10 reps, 4 sets
3. Leg Press, 7 - 12 reps, 3 sets
4. Hamstring Curls, 9 - 12 reps, 4 sets
5. Sitting Calf Raises, 9 - 14 reps, 4 sets

**Day 7: Rest**


### give me an Advanced workout Routine 
# output: 
**Day 1: Push**
1. Incline Dumbbell Press, 10 - 15 reps, 4 sets
2. Tricep Pushdowns, 9 - 11 reps, 4 sets
3. Dumbbell Bench Press, 6 - 8 reps, 4 sets
4. Dumbbell Lateral Raises, 7 - 11 reps, 4 sets
5. Chest Flyes, 6 - 8 reps, 4 sets
6. Cable Lateral Raises, 8 - 13 reps, 4 sets
7. Military Press, 6 - 9 reps, 2 sets

**Day 2: Pull**
1. Cable Curls, 9 - 14 reps, 3 sets
2. Hammer Curls, 6 - 9 reps, 3 sets
3. Incline Curls, 10 - 12 reps, 3 sets
4. Bent Over Rows, 5 - 8 reps, 2 sets
5. Face Pulls, 5 - 7 reps, 3 sets
6. Deadlifts, 8 - 13 reps, 4 sets

**Day 3: Legs**
1. Sitting Calf RaisesSitting Hamstring Curls, 10 - 14 reps, 3 sets
2. Standing Calf Raises, 8 - 13 reps, 3 sets
3. Bulgarian Split Squats, 10 - 12 reps, 4 sets
4. Leg Extensions, 9 - 13 reps, 4 sets
5. Squats, 10 - 14 reps, 2 sets

**Day 4: Push**
1. Tricep Pushdowns, 8 - 13 reps, 3 sets
2. Cable Lateral Raises, 8 - 11 reps, 4 sets
3. Chest Flyes, 9 - 11 reps, 2 sets
4. Military Press, 7 - 11 reps, 4 sets
5. Dumbbell Bench Press, 8 - 13 reps, 4 sets

**Day 5: Pull**
1. Pull-Ups, 6 - 9 reps, 4 sets
2. Bent Over Rows, 5 - 10 reps, 3 sets
3. Face Pulls, 7 - 10 reps, 3 sets
4. Cable Curls, 5 - 8 reps, 2 sets
5. Single Arm Pulldowns, 9 - 14 reps, 2 sets
6. Incline Curls, 8 - 11 reps, 4 sets
7. Hammer Curls, 10 - 13 reps, 2 sets

**Day 6: Legs**
1. Hip Thrust, 5 - 8 reps, 3 sets
2. Bulgarian Split Squats, 5 - 8 reps, 4 sets
3. Leg Extensions, 7 - 10 reps, 3 sets
4. Squats, 9 - 12 reps, 4 sets
5. Standing Calf Raises, 9 - 12 reps, 2 sets
6. Sitting Calf RaisesSitting Hamstring Curls, 9 - 12 reps, 3 sets

**Day 7: Rest**

    
### Input: give me a Beginner workout Routine 
# output: 
**Day 1: Push**
1. Overhead Dumbbell Press, 5 - 8 reps, 3 sets
2. Overhead Dumbbell Extensions, 6 - 9 reps, 4 sets
3. Tricep Pushdowns, 5 - 10 reps, 3 sets
4. Incline Dumbbell Press, 10 - 13 reps, 2 sets
5. Pec Deck, 10 - 13 reps, 2 sets
6. Dumbbell Lateral Raises, 10 - 12 reps, 4 sets
7. Barbell Bench Press, 9 - 12 reps, 3 sets

**Day 2: Pull**
1. Pull-Ups, 8 - 13 reps, 2 sets
2. Single Arm Rows, 9 - 11 reps, 2 sets
3. Hammer Curls, 10 - 14 reps, 4 sets
4. Face Pulls, 8 - 13 reps, 2 sets
5. Seated Cable Rows, 6 - 9 reps, 4 sets
6. Dumbbell Curls, 6 - 11 reps, 3 sets

**Day 3: Legs**
1. Leg Press, 10 - 14 reps, 3 sets
2. Leg Extensions, 10 - 13 reps, 3 sets
3. Glute Bridges, 7 - 11 reps, 3 sets
4. Bodyweight Squats, 9 - 11 reps, 2 sets
5. Standing Calf Raises, 9 - 13 reps, 3 sets

**Day 4: Push**
1. Tricep Pushdowns, 9 - 11 reps, 4 sets
2. Dumbbell Lateral Raises, 10 - 14 reps, 3 sets
3. Overhead Dumbbell Press, 8 - 12 reps, 4 sets
4. Barbell Bench Press, 9 - 14 reps, 2 sets
5. Pec Deck, 5 - 8 reps, 3 sets
6. Incline Dumbbell Press, 8 - 13 reps, 4 sets
7. Overhead Dumbbell Extensions, 9 - 12 reps, 3 sets

**Day 5: Pull**
1. Dumbbell Curls, 9 - 12 reps, 3 sets
2. Face Pulls, 9 - 14 reps, 3 sets
3. Pull-Ups, 9 - 12 reps, 3 sets
4. Reverse Pec Deck, 7 - 9 reps, 2 sets
5. Single Arm Rows, 9 - 12 reps, 3 sets

**Day 6: Legs**
1. Hamstring Curls, 10 - 15 reps, 4 sets
2. Leg Extensions, 9 - 13 reps, 3 sets
3. Goblet Squats, 6 - 11 reps, 3 sets
4. Leg Press, 7 - 12 reps, 4 sets
5. Bodyweight Squats, 7 - 10 reps, 2 sets
6. Standing Calf Raises, 7 - 12 reps, 2 sets

**Day 7: Rest**


### input: give me an Intermediate workout Routine
#  output :
**Day 1: Push**
1. Incline Barbell Press, 9 - 14 reps, 4 sets
2. Tricep Pushdowns, 9 - 14 reps, 4 sets
3. Military Press, 6 - 9 reps, 2 sets
4. Skull Crushers, 7 - 9 reps, 3 sets
5. Dumbbell Lateral Raises, 9 - 13 reps, 4 sets

**Day 2: Pull**
1. Face Pulls, 10 - 13 reps, 2 sets
2. Rear Delt Flyes, 9 - 14 reps, 4 sets
3. T-bar Rows, 7 - 10 reps, 2 sets
4. Preacher Curls, 5 - 7 reps, 2 sets
5. Pull-Ups, 10 - 12 reps, 2 sets
6. Deadlifts, 10 - 13 reps, 2 sets
7. Bent Over Rows, 8 - 10 reps, 2 sets

**Day 3: Legs**
1. Leg Press, 6 - 9 reps, 3 sets
2. Lunges, 6 - 8 reps, 2 sets
3. Sitting Calf Raises, 7 - 12 reps, 2 sets
4. Hamstring Curls, 10 - 12 reps, 4 sets
5. Leg Extensions, 6 - 8 reps, 3 sets
